epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.644,1.01423,0.63556,0.82057,0.95694,0.92013,0.96448,0.75438,0.92384,0.47261,0.80988,0.00055464,0.00055464,0.00055464
2,189.106,0.87699,0.57566,0.80092,0.96329,0.93268,0.96662,0.81224,0.70164,0.42153,0.80339,0.00108832,0.00108832,0.00108832
3,279.701,0.81546,0.54131,0.79675,0.97247,0.93722,0.96939,0.79259,0.72432,0.43694,0.80251,0.0016,0.0016,0.0016
4,375.855,0.7997,0.52418,0.79463,0.96413,0.94056,0.97431,0.76213,0.83389,0.46928,0.80769,0.00156798,0.00156798,0.00156798
5,463.504,0.78848,0.50421,0.79285,0.97336,0.93765,0.97455,0.82456,0.63096,0.41057,0.8009,0.00153497,0.00153497,0.00153497
6,548.014,0.74647,0.48473,0.78952,0.97492,0.95247,0.97859,0.84339,0.63853,0.38085,0.80054,0.00150197,0.00150197,0.00150197
7,639.161,0.751,0.49173,0.79097,0.98281,0.95076,0.97879,0.79051,0.79053,0.42086,0.80597,0.00146896,0.00146896,0.00146896
8,720.653,0.71611,0.47193,0.78875,0.97771,0.94819,0.97862,0.83308,0.6521,0.40354,0.80157,0.00143595,0.00143595,0.00143595
9,801.657,0.74701,0.47793,0.79005,0.98216,0.95259,0.98099,0.84679,0.59459,0.3769,0.80374,0.00140295,0.00140295,0.00140295
10,887.802,0.70096,0.46011,0.78809,0.98515,0.94963,0.97934,0.83318,0.67797,0.38367,0.80459,0.00136994,0.00136994,0.00136994
11,976.26,0.71535,0.46108,0.78814,0.98298,0.95542,0.98076,0.87312,0.54574,0.36021,0.80161,0.00133693,0.00133693,0.00133693
12,1060.98,0.69721,0.45417,0.78614,0.98216,0.95444,0.98035,0.88614,0.53656,0.35057,0.8016,0.00130393,0.00130393,0.00130393
13,1143.73,0.66218,0.43473,0.78258,0.98755,0.95903,0.98355,0.87688,0.52836,0.34449,0.80084,0.00127092,0.00127092,0.00127092
14,1235.7,0.64586,0.42619,0.78469,0.97576,0.95935,0.98277,0.85958,0.5638,0.35804,0.79899,0.00123791,0.00123791,0.00123791
15,1313.65,0.66659,0.43791,0.78372,0.97935,0.95617,0.98216,0.87785,0.53236,0.35822,0.79891,0.00120491,0.00120491,0.00120491
16,1390.9,0.66303,0.43576,0.78299,0.98221,0.95891,0.98303,0.87484,0.53109,0.35693,0.79971,0.0011719,0.0011719,0.0011719
17,1489.31,0.65388,0.42575,0.78477,0.98482,0.96147,0.97973,0.8823,0.55485,0.36081,0.79683,0.00113889,0.00113889,0.00113889
18,1580.55,0.62743,0.41662,0.78163,0.98553,0.95048,0.98153,0.89678,0.46159,0.33629,0.80013,0.00110589,0.00110589,0.00110589
19,1659.46,0.61247,0.40703,0.78126,0.98832,0.96194,0.98595,0.87731,0.55888,0.32961,0.79596,0.00107288,0.00107288,0.00107288
20,1742.26,0.62951,0.41698,0.78249,0.98377,0.96478,0.98442,0.89687,0.50535,0.33095,0.7976,0.00103987,0.00103987,0.00103987
21,1823.23,0.61447,0.40056,0.78079,0.98986,0.96222,0.98414,0.90029,0.48923,0.30937,0.79463,0.00100687,0.00100687,0.00100687
22,1901.48,0.60727,0.39878,0.77968,0.98848,0.95806,0.98228,0.88621,0.53073,0.34193,0.79706,0.000973861,0.000973861,0.000973861
